#Stations within latitude (30.0, 50.0) and longitude (-126.0, -114.0)
#Net,Station,Lat,Long,Elev,Est.Thick,StdDev,Est.Vp/Vs,StdDev,AssumedVp,Vs,PoissonsRatio,NumEQ,Complexity
XJ97,BPC,37.13,-118.43,2370 m,38.25 km,8.911 km,1.89,0.092,6.291 km/s,3.324 km/s,0.31,8,0.723
XC94,SEAL,47.71,-122.89,24 m,38.5 km,3.281 km,1.81,0.070,6.566 km/s,3.633 km/s,0.28,4,0.524
XH94,WCP,40.52,-114.17,1573 m,30.25 km,1.964 km,1.76,0.047,6.276 km/s,3.571 km/s,0.26,14,0.370
TA,R06C,38.52,-119.45,1698 m,40.75 km,5.453 km,1.61,0.100,6.279 km/s,3.906 km/s,0.18,8,0.839
TA,Q03C,38.63,-122.01,108 m,58.0 km,2.031 km,1.87,0.124,6.472 km/s,3.456 km/s,0.30,2,0.796
BK,GASB,39.65,-122.72,1355 m,38.25 km,8.232 km,1.87,0.118,6.472 km/s,3.47 km/s,0.30,4,0.531
TS,BAR,32.68,-116.67,548 m,31.75 km,2.334 km,1.91,0.047,6.264 km/s,3.275 km/s,0.31,59,0.700
BK,KCC,37.32,-119.32,888 m,44.5 km,8.166 km,1.84,0.147,6.291 km/s,3.419 km/s,0.29,35,0.641
XL94,HFN7,36.39,-117.14,1516 m,27.5 km,0.202 km,1.87,0.015,6.279 km/s,3.362 km/s,0.30,3,0.427
TS,RPV,33.74,-118.40,115 m,19.5 km,1.436 km,2.02,0.085,6.048 km/s,2.994 km/s,0.34,31,0.496
TA,S08C,37.50,-118.17,3087 m,38.0 km,0.691 km,1.79,0.036,6.291 km/s,3.525 km/s,0.27,16,0.386
UW,GNW,47.56,-122.83,160 m,34.5 km,2.895 km,2.05,0.057,6.566 km/s,3.211 km/s,0.34,17,0.529
BK,PACP,37.01,-121.29,844 m,25.0 km,0.025 km,1.77,0.008,6.391 km/s,3.6 km/s,0.27,25,0.220
XF94,HONY,32.90,-116.64,2914 m,34.25 km,1.771 km,1.74,0.051,6.264 km/s,3.595 km/s,0.25,4,0.471
AZ,YAQ,33.17,-116.35,430 m,23.0 km,2.585 km,1.85,0.048,6.264 km/s,3.395 km/s,0.29,28,0.348
CI,SDP,34.57,-120.50,631 m,35.25 km,10.628 km,1.60,0.220,6.183 km/s,3.864 km/s,0.18,5,0.806
XF94,FEAR,32.77,-115.93,330 m,32.25 km,15.361 km,1.68,0.026,6.155 km/s,3.658 km/s,0.23,2,0.636
US,COR,44.59,-123.30,121 m,38.5 km,1.542 km,2.03,0.046,6.566 km/s,3.235 km/s,0.34,16,0.487
CI,DEC,34.25,-118.33,519 m,27.75 km,17.442 km,1.95,0.070,6.1 km/s,3.132 km/s,0.32,7,0.594
AZ,TRO,33.52,-116.43,2628 m,26.75 km,0.778 km,1.83,0.013,6.264 km/s,3.423 km/s,0.29,31,0.315
AZ,MONP,32.89,-116.42,1920 m,30.0 km,0.281 km,1.80,0.048,6.264 km/s,3.475 km/s,0.28,70,0.453
XJ97,PDC,36.03,-118.98,167 m,40.25 km,7.255 km,1.86,0.106,6.291 km/s,3.387 km/s,0.30,8,0.511
CI,TUQ,35.44,-115.92,1350 m,28.75 km,0.779 km,1.75,0.017,6.276 km/s,3.576 km/s,0.26,35,0.317
CI,NEE,34.82,-114.60,170 m,41.5 km,4.247 km,1.60,0.076,6.276 km/s,3.922 km/s,0.18,49,0.768
TA,H03A,44.68,-123.29,0.2 km,40.25 km,1.232 km,1.99,0.063,6.566 km/s,3.295 km/s,0.33,3,0.534
CI,CWC,36.44,-118.08,1595 m,39.5 km,0.652 km,1.62,0.052,6.291 km/s,3.889 km/s,0.19,134,0.743
CI,MLAC,37.63,-118.84,2162 m,25.0 km,9.18 km,1.93,0.064,6.291 km/s,3.26 km/s,0.32,150,0.890
CI,DAN,34.64,-115.38,428 m,28.25 km,0.099 km,1.68,0.006,6.276 km/s,3.741 km/s,0.22,208,0.256
XJ97,CHP,35.89,-118.09,2426 m,31.5 km,0.836 km,1.79,0.017,6.1 km/s,3.408 km/s,0.27,4,0.425
LB,DAC,36.28,-117.59,1813 m,32.5 km,1.488 km,1.71,0.074,6.279 km/s,3.677 km/s,0.24,12,0.456
AZ,ELKS,33.58,-116.45,1169 m,28.5 km,0.297 km,1.73,0.023,6.264 km/s,3.621 km/s,0.25,13,0.087
US,WVOR,42.43,-118.64,1344 m,33.75 km,0.979 km,1.72,0.023,6.279 km/s,3.645 km/s,0.25,79,0.474
NR,NE70,32.42,-115.26,-23.0 m,22.5 km,16.463 km,1.61,0.043,6.155 km/s,3.823 km/s,0.19,3,0.906
XF94,BLSY,32.91,-116.88,1739 m,31.0 km,5.51 km,1.89,0.111,6.264 km/s,3.31 km/s,0.31,6,0.593
XN00,PRIS,35.98,-120.49,638 m,55.75 km,12.846 km,1.66,0.193,6.183 km/s,3.713 km/s,0.22,2,0.874
TA,V04C,35.64,-120.87,431 m,24.75 km,3.24 km,1.71,0.110,6.183 km/s,3.626 km/s,0.24,17,0.615
TA,BNLO,37.13,-122.17,794 m,25.5 km,1.303 km,1.79,0.050,6.183 km/s,3.459 km/s,0.27,9,0.418
UW,SSW,46.97,-123.43,120 m,30.5 km,17.418 km,1.92,0.167,6.566 km/s,3.42 km/s,0.31,6,0.525
AZ,PFO,33.61,-116.46,1259 m,29.25 km,0.303 km,1.68,0.028,6.264 km/s,3.723 km/s,0.23,131,0.499
NR,NE72,30.85,-116.06,17 m,30.75 km,9.707 km,1.80,0.116,6.183 km/s,3.435 km/s,0.28,9,0.685
XN00,GLEN,35.93,-120.56,798 m,36.25 km,10.405 km,2.09,0.165,6.183 km/s,2.965 km/s,0.35,3,0.614
TS,MLAC,37.63,-118.83,2170 m,33.0 km,6.295 km,1.86,0.099,6.291 km/s,3.392 km/s,0.30,8,0.642
TA,O04C,40.32,-121.09,1513 m,30.25 km,6.776 km,1.96,0.150,6.566 km/s,3.346 km/s,0.32,21,0.712
NR,NE71,31.69,-115.91,1155 m,33.0 km,0.869 km,1.80,0.030,6.276 km/s,3.487 km/s,0.28,15,0.301
XJ97,SMD,36.97,-118.63,1807 m,46.5 km,5.024 km,1.75,0.095,6.291 km/s,3.595 km/s,0.26,10,0.631
CI,VCS,34.48,-118.12,991 m,30.75 km,0.23 km,1.82,0.014,6.1 km/s,3.347 km/s,0.28,162,0.285
UW,TTW,47.69,-121.69,542 m,25.75 km,10.081 km,1.62,0.101,6.597 km/s,4.066 km/s,0.19,36,0.730
CI,SWS,32.94,-115.80,0.1 km,27.75 km,8.331 km,1.61,0.132,6.155 km/s,3.835 km/s,0.18,13,0.478
TA,SUTB,39.23,-121.79,252 m,59.75 km,9.842 km,1.93,0.106,6.597 km/s,3.41 km/s,0.32,6,0.799
UO,EUO,44.03,-123.07,160 m,46.25 km,0.438 km,2.07,0.021,6.566 km/s,3.176 km/s,0.35,7,0.180
BK,ORV,39.55,-121.50,335 m,34.0 km,0.713 km,1.87,0.019,6.597 km/s,3.533 km/s,0.30,56,0.451
XF94,ALPN,32.87,-116.75,2693 m,35.0 km,1.672 km,1.80,0.060,6.264 km/s,3.489 km/s,0.27,5,0.299
